rate,IR,totalAsset2023,totalDebt2023,totalEquity2023,revenue2023,operatingIncome2023,earningBeforeTax2023,margin2023,turnover2023,leverage2023,totalAsset2022,totalDebt2022,totalEquity2022,revenue2022,operatingIncome2022,earningBeforeTax2022,margin2022,turnover2022,leverage2022,totalAsset2021,totalDebt2021,totalEquity2021,revenue2021,operatingIncome2021,earningBeforeTax2021,margin2021,turnover2021,leverage2021
BBB,10,17887000000,11702000000,6185000000,12496000000,1439000000,1421000000,0.114,0.699,2.892,9631000000,4611000000,5020000000,14319000000,1354000000,1488000000,0.104,1.487,1.919,7314022000,3545345000,3768677000,10017397000,731906000,874371000,0.087,1.37,1.941
BBB,12,10816656000,6503352000,4313304000,10486649000,507848000,565526000,0.054,0.969,2.508,12581996000,8817262000,3764734000,11281925000,874403000,603260000,0.053,0.897,3.342,11571887000,8301541000,3270346000,11780999000,824491000,266519000,0.023,1.018,3.538
BBB,14,30981000000,23423000000,7558000000,86504000000,946000000,897000000,0.01,2.792,4.099,20138933000,13411862000,6727071000,1.13E+11,1482266000,1292721000,0.011,5.6,2.994,17561000000,11851000000,5710000000,1.14E+11,4055000000,4000000000,0.035,6.508,3.075
BBB,10,20796723000,13956376000,6840347000,9066567000,949317000,619681000,0.068,0.436,3.04,18827455000,12145580000,6681875000,9687368000,1366007000,1180496000,0.122,0.515,2.818,17969338000,11862037000,6107301000,10083837000,1360798000,1244438000,0.123,0.561,2.942
BBB,14,12306668000,9017069000,3289599000,44435666000,1631998000,1393653000,0.031,3.611,3.741,12309680000,10095120000,2214560000,46740412000,1229416000,953655000,0.02,3.797,5.559,11994141000,10543644000,1450497000,24253558000,869446000,758378000,0.031,2.022,8.269
BBB,5,13959935000,9564016000,4395919000,46116637000,3611469000,3300577000,0.072,3.303,3.176,17680000000,15810000000,1870000000,23551000000,1829000000,1286000000,0.055,1.332,9.455,8154000000,7125000000,1029000000,6805000000,726000000,574000000,0.084,0.835,7.924
BBB,9,23498775000,10741876000,12756899000,16578003000,251882000,693002000,0.042,0.705,1.842,20872194000,8813485000,12058709000,14171529000,213912000,226156000,0.016,0.679,1.731,19914150000,8146015000,11768135000,9674175000,-1738598000,-1727752000,-0.179,0.486,1.692
BBB,11,32883942000,19043771000,13840171000,21550667000,863603000,349340000,0.016,0.655,2.376,33383000000,19871000000,13512000000,24565000000,1725000000,812000000,0.033,0.736,2.471,31242098000,18325511000,12916587000,20054104000,619689000,106823000,0.005,0.642,2.419
BBB,11,2.19E+11,1.35E+11,84419000000,2.59E+11,23616000000,27752000000,0.107,1.181,2.597,2.52E+11,1.78E+11,73533000000,2.62E+11,10179000000,1194000000,0.005,1.04,3.422,1.70E+11,91782000000,78583000000,2.15E+11,14036000000,10112000000,0.047,1.26,2.168
BBB,9,20803389000,13772298000,7031091000,5779101000,1388739000,1024026000,0.177,0.278,2.959,20124144000,13937246000,6186898000,5179887000,820288000,594494000,0.115,0.257,3.253,18425767000,12263210000,6162557000,4710555000,630080000,58155000,0.012,0.256,2.99
BBB,7,2.35E+11,1.35E+11,1.00E+11,5.15E+11,13130113478,11862187386,0.023,2.194,2.341,2.46E+11,1.54E+11,91598885754,5.62E+11,1346085446,1895538151,0.003,2.287,2.685,2.41E+11,1.53E+11,87644896846,4.75E+11,2295663054,1108013058,0.002,1.974,2.745
BBB,12,4.03E+11,3.09E+11,94628057000,4.24E+11,-37109532000,-41893470000,-0.099,1.052,4.262,3.36E+11,2.28E+11,1.08E+11,4.22E+11,2171486000,406242000,0.001,1.257,3.101,3.27E+11,2.19E+11,1.08E+11,3.45E+11,-5246615000,-12489264000,-0.036,1.054,3.026
BBB,8,33092741000,10427267000,22665474000,16900289000,996075000,944302000,0.056,0.511,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB,12,47224782000,26525013000,20699769000,17819175000,1580294000,642543000,0.036,0.377,2.281,40424683000,20280568000,20144115000,17907477000,2834361000,2140626000,0.12,0.443,2.007,39389316000,21011687000,18377629000,14558502000,2132580000,1787098000,0.123,0.37,2.143
BBB,11,41248038000,24885388000,16362650000,24091633000,1265853000,900341000,0.037,0.584,2.521,41832158000,24912022000,16920136000,24944865000,1220540000,1971611000,0.079,0.596,2.472,35363994000,24900384000,10463610000,25647938000,1100933000,1242352000,0.048,0.725,3.38
